title_idx,winner,loser
63,5,0
19,0,5
50,4,2
55,5,2
41,5,4
65,3,2
55,0,1
19,4,2
85,4,1
42,0,2
47,4,3
72,4,5
83,3,0
91,3,4
92,4,2
82,5,1
46,4,3
21,3,2
11,1,5
43,2,4
76,2,1
